0.16
1	1	34.18	12	6.00	1	25 29			11 12	
2	1	35.38	16	1.00	2	38			16	
2	2	132.36	16	3151.00	5	17 24 31			9 11 14	
2	3	54.82	16	26.00	2	3 8			2 4	
3	1	91.42	30	631.00	3	6 11 15			4 5 8	
3	2	98.73	21	876.00	3	41 46 36 43			18 19 15 18	
3	3	65.60	7	1.00	3	20			10	
4	1	127.82	27	52.00	4	18 16 28 22			9 9 11 11	
4	2	149.00	32	3876.00	4	37 44 40 30			16 18 17 13	
4	3	30.46	7	1.00	4	12			5	
4	4	77.79	21	251.00	4	32 23 33			14 11 14	
4	5	224.78	40	901.00	4	35 39 45 42 47			15 17 18 18 19	
4	6	141.29	29	127.00	4	2 9 1			1 4 1	
4	7	40.13	26	11.00	4	50 48 49			20 19 20	
4	8	50.53	19	31.00	4	21 27 19			10 11 9	
5	1	53.14	2	1.00	5	34			14	
5	2	45.61	27	626.00	5	26 14			11 7	
5	3	70.98	24	132.00	5	5 7 4 13			3 4 3 6	
5	4	45.69	28	2.00	5	10 10			5 5	
